Слово;Часть речи;Частота;Перевод;Пример предложения (татарча)
хезмәт;N;28964;услуга;Хезмәт күрсәтү яхшы. (Хорошо оказывать услуги.)
хәбәр;N;28221;новость;Хәбәрләрне укыдым. (Я прочитал новости.)
каршы;POST;27922;против;Ул каршы килде. (Он пришёл против.)
туган;V;27351;родиться;Мин Казанда туганмын. (Я родился в Казани.)
ала;V;27206;брать/взять;Ала беләсеңме? (Умеешь брать?)
югары;PROP;26379;высокий;Югары бина. (Высокое здание.)
яхшы;ADJ;26327;хороший;Яхшы кеше. (Хороший человек.)
узган;ADJ;26057;прошлый;Узган елгы вакыйга. (Прошлогоднее событие.)
яшь;N;25987;возраст;Минем яшем 25. (Мне 25 лет.)
соңгы;ADJ;25882;последний;Соңгы китапны укыдым. (Прочитал последнюю книгу.)
кабул;ADJ;25713;принятый;Кабул ителгән карар. (Принятое решение.)
милли;ADJ;25543;национальный;Милли бәйрәм. (Национальный праздник.)
ярдәм;N;24661;помощь;Ярдәм күрсәтегез. (Помогите.)
баш;N;24544;голова;Башым авырта. (Голова болит.)
шуңа;ADV;24319;поэтому;Шуңа килмәде. (Поэтому не пришёл.)
сум;N;23407;деньги;Сум җитми. (Денег не хватает.)
шундый;ADJ;22458;такой;Шундый кеше сизгер. (Такой человек чувствительный.)
төп;ADJ;22289;основной;Төп сәбәп ни? (Основная причина что?)
хәл;N;22164;состояние;Хәлең ничек? (Как твоё состояние?)
юл;N;21950;дорога;Юл озын. (Дорога длинная.)
артык;ADJ;21573;лишний;Артык вакыт юк. (Нет лишнего времени.)
мондый;ADJ;21556;такой;Мондый сүзләр сөйләмә. (Не говори такие слова.)
туры;ADJ;21421;прямой;Туры юлны сайла. (Выбери прямой путь.)
көн;N;21048;день;Көн нурлы. (День солнечный.)
тапкыр;ADJ;20481;раз;Тапкыр җавап бир. (Ответь раз.)
федераль;ADJ;20287;федеральный;Федераль закон. (Федеральный закон.)
акча;N;20235;деньги;Акча җитми. (Денег не хватает.)
монда;ADV;20120;здесь;Монда кем бар? (Кто здесь?)
тәкъдим;N;19946;предложение;Тәкъдимне кабул итте. (Он принял предложение.)
район;N;18594;район;Район үзәге. (Центр района.)
бүгенге;ADJ;18585;сегодняшний;Бүгенге көн салкын. (Сегодняшний день холодный.)
якын;ADJ;18451;близкий;Якын дустым. (Мой близкий друг.)
күз;N;18409;глаз;Күзләре матур. (Глаза красивые.)
быел;ADV;17883;в этом году;Быел җәй җылы. (В этом году лето тёплое.)
бергә;ADV;17772;вместе;Бергә эшлибез. (Работаем вместе.)
бала;N;17452;ребёнок;Балалар уйный. (Дети играют.)
аннан;ADV;17351;оттуда;Аннан килде. (Пришёл оттуда.)
шәһәр;N;17255;город;Шәһәрдә яшим. (Живу в городе.)
таба;N;17146;находка;Табасыңмы? (Найдёшь?)
дөнья;N;16853;мир;Дөнья зур. (Мир большой.)
матур;ADJ;16553;красивый;Матур кыз. (Красивая девушка.)
аерым;ADJ;16496;отдельный;Аерым бүлмә. (Отдельная комната.)
дәвам;N;16428;продолжение;Дәвам итәбез. (Продолжаем.)
элек;ADV;16160;раньше;Элек монда йорт юк иде. (Раньше здесь не было дома.)
кала;V;15970;оставаться;Каласыңмы? (Останешься?)
вакыт;N;15840;время;Вакыт җитми. (Времени не хватает.)
белем;N;15489;знание;Белем мөһим. (Знание важно.)
су;N;15411;вода;Су салкын. (Вода холодная.)
спорт;N;14652;спорт;Спорт яратам. (Люблю спорт.)
кара;ADJ;14642;чёрный;Кара чәч. (Чёрные волосы.)
муниципаль;ADJ;14565;муниципальный;Муниципаль учреждение. (Муниципальное учреждение.)
авыр;V;14508;тяжёлый;Авыр йөк. (Тяжёлый груз.)
социаль;ADJ;14409;социальный;Социаль ярдәм. (Социальная помощь.)
елга;N;14343;река;Елга суы салкын. (Речная вода холодная.)
тормыш;N;14247;жизнь;Тормыш матур. (Жизнь прекрасна.)
мәдәният;N;14219;культура;Мәдәният бәйрәме. (Праздник культуры.)
матбугат;N;14131;пресса;Матбугат хезмәтчесе. (Сотрудник прессы.)
дөрес;ADJ;14035;правильный;Дөрос җавап. (Правильный ответ.)
тыш;N;14023;внешний;Тышкы күренеш. (Внешний вид.)
уку;V;13771;читать;Укуны яратам. (Люблю читать.)
биредә;ADV;13760;здесь;Биредә кем бар? (Кто здесь?)
кыз;N;13710;девушка;Кыз матур. (Девушка красивая.)
ил;N;13617;страна;Ил лидеры. (Лидер страны.)
тәэмин;N;13377;обеспечение;Тәэмин итү мөһим. (Обеспечение важно.)
мәгариф;N;13321;образование;Мәгариф системасы. (Система образования.)
чит;ADJ;13123;иностранный;Чит тел. (Иностранный язык.)
кызыл;ADJ;12952;красный;Кызыл рәсем. (Красный рисунок.)
урын;N;12678;место;Урын җитми. (Мест не хватает.)
хәзерге;ADJ;12429;нынешний;Хәзерге заман. (Нынешнее время.)
халыкара;ADJ;12344;международный;Халыкара килешү. (Международное соглашение.)
махсус;ADJ;12337;специальный;Махсус программа. (Специальная программа.)
шактый;ADV;12255;довольно;Шактый күп. (Довольно много.)
ак;ADJ;12161;белый;Ак кар. (Белый снег.)
мәгълүмат;N;12110;информация;Мәгълүмат бир. (Дай информацию.)
торак;N;12089;жильё;Торак мәсьәләсе. (Проблема жилья.)
игътибар;N;12028;внимание;Игътибар итегез. (Обратите внимание.)
җавап;N;11974;ответ;Җавап бир. (Дай ответ.)
җир;N;11841;земля;Җир яшел. (Земля зелёная.)
тел;V;11611;просить;Теләк белдер. (Вырази желание.)
тиз;ADJ;11445;быстрый;Тиз йөгер. (Беги быстро.)
мәктәп;N;11423;школа;Мәктәптә укыйм. (Учусь в школе.)
егет;N;11280;парень;Егет көчле. (Парень сильный.)
рәхмәт;INTRJ;11128;спасибо;Рәхмәт! (Спасибо!)
президент;N;10987;президент;Президент сөйләде. (Президент выступил.)
ачык;ADJ;10897;открытый;Ачык җәүһәр. (Открытый секрет.)
кул;N;10841;рука;Кулыңны күрсәт. (Покажи руку.)
абый;N;10835;брат;Абыйм килде. (Брат пришёл.)
эчке;ADJ;10721;внутренний;Эчке мәсьәлә. (Внутренний вопрос.)
озак;ADJ;10704;далёкий;Озак юл. (Далёкий путь.)
рус;ADJ;10650;русский;Рус телен беләм. (Знаю русский язык.)
үткән;V;10489;прошлый;Үткән ел. (Прошлый год.)
фикер;N;10395;мнение;Фикерең ничек? (Какое твоё мнение?)
бераз;ADV;10350;немного;Бераз көтел. (Подожди немного.)
түбән;PROP;10242;низкий;Түбән температура. (Низкая температура.)
үзәк;N;10190;центр;Үзәктә җыелдык. (Собрались в центре.)
иҗат;N;10102;творчество;Иҗат җыены. (Творческая встреча.)
мөһим;ADJ;10087;важный;Мөһим мәсьәлә. (Важный вопрос.)
чын;ADJ;10060;настоящий;Чын дус. (Настоящий друг.)
кире;ADJ;10054;обратный;Кире юлны алырга. (Вернуться обратно.)
урта;V;9814;средний;Урта күләмдә. (В среднем объёме.)
бигрәк;ADV;9806;особенно;Бигрәк тә матур. (Особенно красиво.)
тәшкил;N;9774;организация;Тәшкил итү җиңел. (Организовать легко.)
һаман;ADV;9695;всё ещё;Һаман эшли. (Всё ещё работает.)
бәйрәм;N;9644;праздник;Бәйрәм шатлыгы. (Радость праздника.)
чыгыш;N;9613;выступление;Чыгыш яхшы иде. (Выступление было хорошим.)
олы;ADJ;9506;большой;Олы йорт. (Большой дом.)
тулы;ADJ;9495;полный;Тулы стакан. (Полный стакан.)
бөек;ADJ;9492;великий;Бөек шагыйрь. (Великий поэт.)
гомер;N;9455;жизнь;Гомер озын. (Жизнь длинная.)
халкы;N;9448;народ;Халкы бәйрәм итә. (Народ празднует.)
таң;N;9426;рассвет;Таң атканда. (На рассвете.)
сәнгать;N;9368;искусство;Сәнгать күргәзмәсе. (Выставка искусства.)
ай;INTRJ;9332;месяц;Ай яктысы. (Лунный свет.)
аз;ADJ;9318;мало;Аз вакыт. (Мало времени.)
тавыш;N;9285;голос;Тавыш яңгырады. (Голос прозвучал.)
закон;N;9256;закон;Закон буенча. (По закону.)
бөтенләй;ADV;9194;совсем;Бөтенләй бетте. (Совсем закончилось.)
гаилә;N;9133;семья;Гаилә белән. (С семьёй.)
медицина;N;9079;медицина;Медицина ярдәм итә. (Медицина помогает.)
апа;N;8956;сестра;Апам килде. (Сестра пришла.)
башкорт;N;8916;башкир;Башкорт дустым. (Мой друг-башкир.)
киң;ADJ;8880;широкий;Киң юл. (Широкая дорога.)
йорт;N;8877;дом;Йорт яңа. (Дом новый.)
сугыш;V;8823;война;Сугыш бетте. (Война закончилась.)
хәрби;ADJ;8778;военный;Хәрби техника. (Военная техника.)
әдәби;ADJ;8770;литературный;Әдәби әсәр. (Литературное произведение.)
ислам;N;8739;ислам;Ислам дине. (Религия ислам.)
аеруча;ADV;8717;особенно;Аеруча матур. (Особенно красиво.)
тиешле;ADJ;8663;соответствующий;Тиешле җавап. (Соответствующий ответ.)
шагыйрь;N;8661;поэт;Шагыйрь иҗаты. (Творчество поэта.)
совет;N;8645;совет;Совет бирәсеңме? (Дашь совет?)
мөрәҗәгать;N;8639;обращение;Мөрәҗәгать яздым. (Написал обращение.)
хатын;N;8620;женщина;Хатын эшли. (Женщина работает.)
башкарма;V;8401;исполнять;Башкарма җыены. (Исполнительное собрание.)
еш;ADV;8280;часто;Еш киләсең. (Часто приходишь.)
китап;N;8273;книга;Китап укыйм. (Читаю книгу.)
сәгать;N;8112;час;Сәгать алты. (Шесть часов.)
нык;ADJ;8085;крепкий;Нык бәйләнгән. (Крепко связанный.)
рәсми;ADJ;8083;официальный;Рәсми рәвештә. (Официально.)
төбәк;N;8034;регион;Төбәк үсеше. (Развитие региона.)
шәхси;ADJ;7970;личный;Шәхси тормыш. (Личная жизнь.)
сайлау;V;7916;выбирать;Сайлау җиңел. (Выбирать легко.)
алтын;N;7906;золото;Алтын йөзек. (Золотое кольцо.)
бердәм;ADJ;7808;единый;Бердәм фронт. (Единый фронт.)
андый;ADJ;7759;такой;Андый кеше. (Такой человек.)
ял;N;7612;отдых;Ял кирәк. (Нужен отдых.)
таләп;N;7609;требование;Таләп югары. (Требование высокое.)
ия;N;7555;хозяин;Иясе юк. (Нет хозяина.)
тарихи;ADJ;7434;исторический;Тарихи урын. (Историческое место.)
иҗтимагый;ADJ;7407;общественный;Иҗтимагый эш. (Общественная работа.)
урыс;N;7390;русский;Урыс теле. (Русский язык.)
фән;N;7309;наука;Фән үсеше. (Развитие науки.)
идарә;N;7289;управление;Идарә бинасы. (Здание управления.)
күңел;N;7271;душа;Күңелле кеше. (Душевный человек.)
йөз;N;7259;лицо;Йөзе матур. (Лицо красивое.)
кечкенә;ADJ;7247;маленький;Кечкенә бала. (Маленький ребёнок.)
бай;N;7234;богатый;Бай кеше. (Богатый человек.)
сәяси;ADJ;7181;политический;Сәяси программа. (Политическая программа.)
хокук;N;7168;право;Хокук яклау. (Защита прав.)
май;N;7142;масло;Май сатып алдым. (Купил масло.)
гел;ADV;7127;всегда;Гел шулай. (Всегда так.)
иске;ADJ;7122;старый;Иске йорт. (Старый дом.)
көч;N;7121;сила;Көч җитәрлек. (Силы достаточно.)
икътисади;ADJ;7074;экономический;Икътисади кризис. (Экономический кризис.)
уңай;ADJ;7072;удобный;Уңай урын. (Удобное место.)
карт;N;6974;старик;Карт кеше. (Старый человек.)
бүләк;N;6934;подарок;Бүләк бирде. (Подарил подарок.)
сәүдә;N;6934;торговля;Сәүдә үзәге. (Торговый центр.)
элекке;ADJ;6930;бывший;Элекке җитәкче. (Бывший руководитель.)
кече;ADJ;6880;младший;Кече абый. (Младший брат.)
ерак;ADJ;6863;далёкий;Ерак юл. (Далёкий путь.)
үтә;V;6862;переходить;Үтә алмыйм. (Не могу перейти.)
изге;ADJ;6821;святой;Изге урын. (Святое место.)
тимер;N;6802;железо;Тимер күпер. (Железный мост.)
гади;ADJ;6801;простой;Гади хезмәт. (Простая услуга.)
мәдәни;ADJ;6795;культурный;Мәдәни чара. (Культурное мероприятие.)
актив;N;6789;актив;Актив катнашу. (Активное участие.)
машина;N;6758;машина;Машина яңа. (Машина новая.)
лаек;ADJ;6752;достойный;Лаек бүләк. (Достойный подарок.)
процент;N;6600;процент;Процент югары. (Процент высокий.)
урман;N;6591;лес;Урман матур. (Лес красивый.)
юкка;ADV;6557;напрасно;Юкка сөйләмә. (Не говори напрасно.)
нефть;N;6546;нефть;Нефть чыганагы. (Источник нефти.)
әдәбият;N;6531;литература;Әдәбият дәресләре. (Уроки литературы.)
хәзрәт;N;6508;господин;Хәзрәт килде. (Господин пришёл.)
театр;N;6477;театр;Театрга бардык. (Пошли в театр.)
ханым;N;6475;госпожа;Ханым сөйләде. (Госпожа выступила.)
карый;N;6459;отношение;Карый мәсьәлә. (Относящийся вопрос.)
әзер;ADJ;6449;готовый;Әзер җавап. (Готовый ответ.)
кичә;V;6390;вечер;Кичә килде. (Пришёл вечером.)
хөкүмәт;N;6348;правительство;Хөкүмәт карары. (Решение правительства.)
фәнни;ADJ;6340;научный;Фәнни эзләнү. (Научное исследование.)
ана;N;6337;мать;Анам яраткан. (Мама любимая.)
мөселман;N;6332;мусульманин;Мөселман бәйрәме. (Праздник мусульман.)
ачу;N;6239;гнев;Ачу килде. (Пришёл гнев.)
ир;N;6235;муж;Ирем эшли. (Муж работает.)
елгы;ADJ;6231;прошлогодний;Елгы уңыш. (Прошлогодний урожай.)
җәлеп;N;6219;привлечение;Җәлеп итү. (Привлечение внимания.)
әни;N;6108;мама;Әнием килде. (Мама пришла.)
дин;N;6075;религия;Дин тоту. (Исповедовать религию.)
октябрь;N;6046;октябрь;Октябрь ае. (Месяц октябрь.)
уртак;ADJ;6036;общий;Уртак эш. (Общее дело.)
чара;N;6010;мероприятие;Чара үтте. (Мероприятие прошло.)
татарча;N;6001;татарский;Татарча сөйләшәм. (Говорю по-татарски.)
март;N;5970;март;Март салкын. (Март холодный.)
озын;ADJ;5949;длинный;Озын юл. (Длинная дорога.)
җиңел;V;5892;легко;Җиңел эш. (Лёгкая работа.)
ат;N;5844;лошадь;Ат йөгерә. (Лошадь бежит.)
диярлек;ADV;5830;почти;Диярлек бетте. (Почти закончилось.)
тирән;ADJ;5819;глубокий;Тирән су. (Глубокая вода.)
мәсьәлә;N;5767;вопрос;Мәсьәлә чишелде. (Вопрос решился.)
җинаять;N;5751;преступление;Җинаять эше. (Уголовное дело.)
малай;N;5741;мальчик;Малай уйный. (Мальчик играет.)
карар;N;5698;решение;Карар кабул ителде. (Решение принято.)
транспорт;N;5682;транспорт;Транспорт җитешмәде. (Транспорт не пришёл.)
бөтендөнья;ADJ;5676;всемирный;Бөтендөнья фестивале. (Всемирный фестиваль.)
сөт;N;5656;молоко;Сөт салкын. (Молоко холодное.)
уртача;N;5620;средний;Уртача күләм. (Средний объём.)
борынгы;ADJ;5582;древний;Борынгы шәһәр. (Древний город.)
алдан;PROP;5570;вперёд;Алдан бару. (Идти вперёд.)
барыбер;ADV;5566;всё равно;Барыбер киләм. (Всё равно приду.)
рухи;N;5546;духовный;Рухи кыйммәтләр. (Духовные ценности.)
игълан;N;5537;объявление;Игълан күрсәтелде. (Объявление показано.)
ут;N;5537;огонь;Ут янган. (Огонь горит.)
дини;ADJ;5525;религиозный;Дини бәйрәм. (Религиозный праздник.)
сорау;V;5516;спрашивать;Сорау җиңел. (Спрашивать легко.)
өлкән;ADJ;5495;старший;Өлкән абый. (Старший брат.)
даими;ADJ;5483;постоянный;Даими эш. (Постоянная работа.)
тыныч;ADJ;5481;спокойный;Тыныч кеше. (Спокойный человек.)
кинәт;ADV;5473;внезапно;Кинәт килде. (Пришёл внезапно.)
каты;ADJ;5461;твёрдый;Каты җир. (Твёрдая земля.)
гасыр;N;5437;век;Гасыр башы. (Начало века.)
сәбәпле;POST;5417;из-за/по причине;Яңгыр сәбәпле юл ябык. (Дорога закрыта из-за дождя.)
яшел;ADJ;5395;зелёный;Яшел урманнар һаваны чиста тота. (Зелёные леса очищают воздух.)
җитди;ADJ;5376;серьёзный;Бу җитди мәсьәләне хәл итергә кирәк. (Нужно решить эту серьёзную проблему.)
якты;ADJ;5312;светлый;Якты бүлмәдә эшләү җайлы. (Работать в светлой комнате удобно.)
апрель;N;5309;апрель;Апрельдә карлар эри башлый. (В апреле снег начинает таять.)
зыян;N;5279;вред;Тәмәке төтене сәламәтлеккә зыян китерә. (Табачный дым вредит здоровью.)
җан;N;5222;душа/жизнь;Җанымны бирәм бу эшкә. (Отдаю душу за это дело.)
яз;V;5217;писать/весна;Мин шигырьләр язам. (Я пишу стихи.) / Яз җитте, чәчәкләр ачты. (Пришла весна, цветы распустились.)
министр;N;5211;министр;Министр яңа проектны җитәкләде. (Министр представил новый проект.)
начар;ADJ;5176;плохой;Начар һава сәфәргә комачаулаган. (Плохая погода помешала поездке.)
өстәмә;ADJ;5171;дополнительный;Өстәмә мәгълүматларны сорагыз. (Запросите дополнительную информацию.)
очрашу;N;5168;встреча;Очрашу вакытын күчерергә кирәк. (Нужно перенести время встречи.)
кояш;N;5166;солнце;Кояш болытлар артыннан чыкты. (Солнце вышло из-за туч.)
аяк;N;5133;нога;Аягым авырта, йөри алмыйм. (Нога болит, не могу ходить.)
генераль;ADJ;5102;генеральный;Генераль планны расладылар. (Генеральный план утвердили.)
язучы;N;5100;писатель;Язучының яңа китабы чыкты. (Вышла новая книга писателя.)
көрәш;V;5090;бороться;Халык хокук өчен көрәшә. (Народ борется за права.)
февраль;N;5082;февраль;Февральдә салкыннар көчәя. (В феврале усиливаются морозы.)
программа;N;5075;программа;Программаны яңарттылар. (Программу обновили.)
әйбәт;ADJ;5071;хороший/отличный;Әйбәт эшләдең! (Ты отлично поработал!)
соңыннан;N;5057;после/следствие;Эшнең соңыннан җаваплылык килә. (После дела приходит ответственность.)
күрше;N;5035;сосед;Күршебезгә яңа кече килде. (К соседу приехал новый гость.)
гүзәл;ADJ;5014;прекрасный;Гүзәл көнде сагынмак мөмкин түгел. (Такой прекрасный день нельзя пропустить.)
алда;N;5009;впереди;Алдагы станциядә тукталыйк. (Остановимся на следующей станции.)
киләчәк;V;5005;будущее;Киләчәкне яхшылыкка төзибез. (Строим будущее на добре.)
агымдагы;N;4998;текущий;Агымдагы мәсьәләләрне хәл итик. (Решим текущие вопросы.)
салават;N;4989;Салават (имя);Салават шәһәрендә табигать матур. (В городе Салавате красивая природа.)
декабрь;N;4982;декабрь;Декабрь аенда яңа елга әзерләнәбез. (В декабре готовимся к Новому году.)
азат;N;4981;свободный;Азат фикерләү мөһим. (Свободное мышление важно.)
әти;N;4951;отец;Әтием миңа яхшы үрнәк булды. (Мой отец был хорошим примером.)
хат;N;4932;письмо;Хатны почта аша җибәрдем. (Отправил письмо по почте.)
гомуми;ADJ;4913;общий;Гомуми җыелыш уздырылды. (Проведено общее собрание.)
тарих;N;4905;история;Тарихны өйрәнү файдалы. (Изучать историю полезно.)
ватан;N;4898;родина;Ватанга мәхәббәт тәрбияләнә. (Любовь к Родине воспитывается.)
өстәл;V;4885;добавлять;Өстәлгән мәгълүматлар файдалы. (Дополнительные сведения полезны.)
җылы;ADJ;4885;тёплый;Җылы көннәр килә башлады. (Начались тёплые дни.)
агач;N;4874;дерево;Агачлар яфракларын салды. (Деревья сбросили листву.)
мөмкинлек;N;4872;возможность;Мөмкинлекләрне файдаланыгыз. (Используйте возможности.)
абзый;N;4866;старший брат (диал.);Абзыйм миңа ярдәм итте. (Старший брат помог мне.)
үзара;ADV;4858;взаимно;Үзара ярдәмлек җәмгыятьне ныгыта. (Взаимопомощь укрепляет общество.)
укытучы;V;4854;учитель;Укытучы безгә яңа тел өйрәтә. (Учитель преподаёт нам новый язык.)
ирек;N;4849;свобода;Ирек — кешенең төп хокукы. (Свобода — основное право человека.)
автор;N;4830;автор;Авторның фикере ачыкланды. (Мнение автора прояснилось.)
исән;ADJ;4820;здоровый;Исән тормыш алып барыгыз! (Ведите здоровый образ жизни!)
җыр;N;4785;песня;Җыр моңлы итеп башлады. (Песня началась мелодично.)
өмет;N;4783;надежда;Өметсезлеккә бирелмәгез. (Не поддавайтесь отчаянию.)
атна;N;4739;неделя;Атна саен җыелышлар үткәрәләр. (Каждую неделю проводят собрания.)
хакимият;N;4724;власть;Хакимият халыкны тыңлый. (Власть прислушивается к народу.)
мәчет;N;4697;мечеть;Мәчеттә намаз укылды. (В мечети прошла молитва.)
ит;N;4649;мясо;Итне оста пешерәләр. (Мясо мастерски приготовили.)
финанс;ADJ;4649;финансовый;Финанс кризисы җиңелдерелде. (Финансовый кризис преодолён.)
роза;N;4645;роза;Роза чәчәге матур һәм хуш исле. (Роза красива и ароматна.)
мәҗбүр;ADJ;4626;вынужденный;Мәҗбүр булып калдык. (Мы оказались вынуждены.)
җәмәгать;N;4616;общество;Җәмәгатьчелек актив катнашты. (Общество активно участвовало.)
хәер;MOD;4605;пожертвование;Хәер итеп акча бирде. (Пожертвовал деньги.)
төркем;N;4605;группа;Төркемдә яңа әгъзалар бар. (В группе есть новые участники.)
универсиада;N;4595;универсиада;Универсиада спортчыларны җыя. (Универсиада собирает спортсменов.)
күренекле;ADJ;4591;заметный;Күренекле җитәкчелек итте. (Оказал заметное руководство.)
тонна;N;4574;тонна;Тонна җитешмәгәнлеген белдерделәр. (Сообщили о нехватке тонны.)
музыка;N;4557;музыка;Музыка күңелне күтәрә. (Музыка поднимает настроение.)
янә;ADV;4544;снова;Янә бер тапкыр тырышырбыз. (Попробуем ещё раз.)
эре;ADJ;4534;крупный;Эре предприятиеләр үсеш алды. (Крупные предприятия развились.)
һава;N;4522;воздух;Һава чиста, тынычландыра. (Воздух чистый, успокаивает.)
сентябрь;N;4482;сентябрь;Сентябрьдә мәктәп башлана. (В сентябре начинается школа.)
икътисад;N;4475;экономика;Икътисадны ныгыту кирәк. (Нужно укреплять экономику.)
ярты;N;4465;половина;Ярты сәгатьтән соң килермен. (Приду через полчаса.)
салкын;ADJ;4455;холодный;Салкын суны эчмәгез. (Не пейте холодную воду.)
ноябрь;N;4447;ноябрь;Ноябрьдә кыш башлана. (Зима начинается в ноябре.)
июнь;N;4432;июнь;Июньдә бәйрәмнәр күп. (В июне много праздников.)
шигырь;N;4429;стихотворение;Шигырьне югары тавыш белән укыды. (Стихотворение прочитал громко.)
килеш;N;4428;соглашение;Килешкә имза салынды. (Соглашение подписано.)
алдагы;ADJ;4422;предстоящий;Алдагы атнада очрашырбыз. (Встретимся на следующей неделе.)
кайчан;PN;4417;когда;Кайчан килерсең? (Когда придёшь?)
заман;N;4411;эпоха;Заман үзгәрә, кешеләр дә. (Меняются эпохи, и люди тоже.)
иртәгә;ADV;4398;завтра;Иртәгә җыелыш булачак. (Завтра будет собрание.)
катлаулы;N;4396;сложный;Катлаулы мәсьәләне хәл иттек. (Решили сложную проблему.)
кар;N;4386;снег;Кар ява, юллар ябыла. (Идёт снег, дороги закрываются.)
рөхсәт;N;4386;разрешение;Рөхсәт сорап мөрәҗәгать иттем. (Обратился за разрешением.)
байтак;ADJ;4371;обильный;Байтак ашлык җыелды. (Собрали обильный урожай.)
өй;N;4366;дом;Өйне яңарттылар. (Дом отремонтировали.)
хатын-кыз;N;4360;женщина;Хатын-кызлар хокукларын якларга тиеш. (Женщины должны защищать свои права.)
нигез;N;4357;основа;Нигез салу мөһим. (Заложить основу важно.)
төрки;N;4351;тюркский;Төрки телләр гаиләсе зур. (Семья тюркских языков обширна.)
буш;ADJ;4340;пустой;Буш сәгатьләрне файдаланыгыз. (Используйте свободное время.)
сәнәгать;N;4324;промышленность;Сәнәгать үсеше икътисадны күтәрә. (Развитие промышленности поднимает экономику.)
яткан;V;4321;лежать;Китап өстәлдә яткан. (Книга лежала на столе.)
кыска;ADJ;4319;короткий;Кыска җавап бирде. (Да́л короткий ответ.)
электрон;N;4313;электронный;Электрон хат җибәрдем. (Отправил электронное письмо.)
миләүшә;N;4293;фиалка;Миләүшә чәчәге нечкә. (Фиалка — нежный цветок.)
әби;N;4283;бабушка;Әбием бәлеш белен шелтә. (Бабушка испекла бэлиш.)
камил;ADJ;4281;совершенный;Камьл осталык таләп ителә. (Требуется совершенное мастерство.)
исем;N;4276;имя;Исемеңне язманы оныттым. (Забыл написать твоё имя.)
мәртәбә;N;4275;раз;Мәртәбәдән-мәртәбәгә кабатлады. (Повторял раз за разом.)
бабай;N;4275;дедушка;Бабай әкиятләр сөйли. (Дедушка рассказывает сказки.)
әфәнде;N;4272;господин;Әфәнде, ярдәм итегез! (Господин, помогите!)
суд;N;4272;суд;Суд карары гаризагә туры килде. (Решение суда соответствовало жалобе.)
июль;N;4262;июль;Июльдә җәйге яллар башлана. (В июле начинаются летние каникулы.)
галим;N;4254;учёный;Галимнәр яңа ачышлар ясый. (Учёные совершают новые открытия.)
өлкә;N;4229;область;Өлкәдә инфраструктура үсә. (В области развивается инфраструктура.)
гыйнвар;N;4222;январь;Гыйнварның беренче көне бәйрәм. (Первое января — праздник.)
куркыныч;ADJ;4220;опасный;Куркыныч хәл булды. (Произошла опасная ситуация.)
га;N;4207;га (возм. сокращение);Га буенча эшлибез. (Работаем по га.)
европа;N;4198;Европа;Европага сәяхәт иттек. (Путешествовали в Европу.)
бәхет;N;4193;счастье;Бәхетле көн! (Счастливый день!)
укучы;V;4150;читать (причастие);Укучы кеше ялгыз. (Человек, который читает, одинок.)
мисал;N;4145;пример;Мисал өчен. (Для примера.)
август;N;4137;август;Августта җылы. (В августе тепло.)
бюджет;N;4132;бюджет;Бюджет җитми. (Бюджета не хватает.)
